id,tweet,emoji
24462,Didnt u post a selfie last week on IG saying uk what to do SMASH that button U tagged me and my fr,"['backhand_index_pointing_down', 'thumbs_up']"
24463,Its no use going back to yesterday because I was a different person then Alice in Wonderland,['two_hearts']
24464,Huge congrats to and the for winning the Award,['trophy']
24465,Finally seen black panther shit was cold,['hundred_points']
24466,Friends forever Miss guys ,"['red_heart', 'red_heart']"
24467,Cant wait to fall asleep with the LOML every night in our own little home,['weary_face']
24468,OH MY WOW,['red_heart']
24469,Thank you for being so supportive ,"['red_heart', 'red_heart']"
24470,why is a woman none of us voted for dragging us out of europe and into world war 3,['face_with_tears_of_joy']
24471,Another day another blessing,['folded_hands']
24472,EXOLS I NEED YOUR HELP I AM MESSAGING ALL THE EXOLS IN THE WORLD TO HELP ME REACH 5K RETWEETS AND 8K LIKES IT D,['loudly_crying_face']
24473,They arent doing justice to Baba yaos degree Ama ni language ya Punjab,['rolling_on_the_floor_laughing']
24474,To go downstairs to eat or not to eat ,"['person_facepalming', 'male_sign']"
24475,START 070418 Meeting with Smtown,"['glowing_star', 'glowing_star', 'sparkles']"
24476,Yeah I have my receipt and this mice droppings ass donut  yooo can ya watch the w,['loudly_crying_face']
24477,START Breaking Peter Strzok KNEW Hillary Camp Used Bleachbit to Delete Emails The Week They Were Deleted,['police_car_light']
24478,She is adorable no soft shit but damn,['loudly_crying_face']
24479,BOOM RELEASE THE MEMOS BREAKING DOJ Set To Release Comeys Memos Could Lead To End Of Muellers Investigation,['collision']
24480,That sikwang never dies,['red_heart']
24481,Benedict charming that red carpet like its nothing looking,['OK_hand']
24482,Took sleeping pills and NyQuil not even worried about if I wake up for work in the morning ,"['person_shrugging', 'female_sign']"
24483,Wish we could turn back time to the good old days,['crying_face']
24484,   ,"['fire', 'backhand_index_pointing_right', 'backhand_index_pointing_right', 'backhand_index_pointing_right']"
24485,I think im addicted Everything is FREE Mutiple items at checkout See for yourself ,"['red_heart', 'face_blowing_a_kiss']"
24486,Somethings def not clicking with her and she calls me a dumbass,['face_with_tears_of_joy']
24487,START Best Free Sex Cams  Free Registration Free Tokkens httpst,"['fire', 'fire']"
24488,if you aint trying to be this extra with me dont slide my way,['rolling_on_the_floor_laughing']
24489,Let me put yall on pepper jack boudin ball,['smiling_face_with_heart-eyes']
24490,ya girl is going shark cage diving on my 21st rip me,['smiling_face_with_heart-eyes']
24491,IM CRYING WE DID IT GOT 7 amp IGOT 7 THANK YOU,['loudly_crying_face']
24492,A well deserved RED for City,['clapping_hands']
24493,THE ENERGY IM HERE FOR,['face_with_tears_of_joy']
24494,Follow everyone that LIKES AND RT THIS Follow FOLLOW ME TURN MY NOTIFICATION ON TO GAI,['backhand_index_pointing_right']
24495,These jerseys are so filthy,['smiling_face_with_heart-eyes']
24496,Its so funny how much Phoebe doesnt like my mom,['face_with_tears_of_joy']
24497,when a man pulls u closer to him while hes sleeping,['smiling_face_with_heart-eyes']
24498,Who you shooting for babe x,['face_blowing_a_kiss']
24499,1 6 goals this season and now a senior Brazil callup for Talisca,['clapping_hands']
24500,OMG i fucking LOVE THISSS if you gotta reaction vid send or tweet me the link i wanna see em yall h,['face_with_tears_of_joy']
24501,START Poppy is seeking a or child amp pet free 35yrs old contact Las,"['red_heart', 'red_heart']"
24502,i dont trust all of my friends just my main 3,['face_with_tears_of_joy']
24503,We all know this person,['weary_face']
24504,Gain 300 new followers Like Retweet this tweet Follow all who retweet Follow Back all,['fire']
24505,Drunk bowling More drinks drunk eating lmao,['loudly_crying_face']
24506,My song made it to spinrilla so to my good folks on DMV crank of the week go download and crank that link in b,"['flexed_biceps', 'hundred_points', 'double_exclamation_mark']"
24507,why are you growing so fast 11M one more and we will have a 1 year old,['weary_face']
24508,I still cant believe that man James Harden had a 60 point triple double,['fire']
24509,SHOW THEM ONE PICTURE THEY KNOW YOUR WHOLE LIBRARY   Fiiire Retweet,"['raising_hands', 'raising_hands', 'fire']"
24510,I love my job,['eyes']
24511,Man City will not win the next 10 games IJN,['folded_hands']
24512,Retweet if You once Had this    ,"['smiling_face', 'smiling_face', 'smiling_face', 'smiling_face', 'smiling_face']"
24513,Weve got it handled Football Baseball Hockey Sid does it all,['raising_hands']
24514,Exactly Youre awesome Also when I saw you were following me I definitely fan girled,['sparkling_heart']
24515, Spray tackles ur biggest holiday stains so you can focus on making memories,['sparkles']
24516,AWESOME performance from the today certainly moving in the right direction,['clapping_hands']
24517,We should just note that the WILL BE in city this year PLEASE perform w Cardi,['winking_face']
24518,I love this pic,['smiling_face_with_heart-eyes']
24519,START Sketched bust giveaway RETWEET FOLLOW to enter Ill draw furries humans ocs and fanart Ends March 2nd a week from,"['sparkles', 'sparkles']"
24520,Anything with Tim Minchin,['clapping_hands']
24521,I really dislike cold weather man,['weary_face']
24522,someone tried to break into my house last night and ,"['person_facepalming', 'male_sign']"
24523,Ill still need that lottery win,['loudly_crying_face']
24524,START HOT HOT HOT Reward Program Earn ELF tokens every day by doing very simple assignments Sign up here httpst,"['fire', 'fire', 'collision']"
24525,START are 73K behind voting rate ARMY please cast your votes faster Be ready for mass vote at 1000PM,['police_car_light']
24526,Fake goals the kinda things miracle fans type its joke oo,"['smiling_face_with_heart-eyes', 'face_with_tears_of_joy']"
24527,idk how those beans smell but i kno they taste good,['eyes']
24528,Super baby nee da,['smiling_face_with_heart-eyes']
24529,I just really want some attention the right kind from the right one,['face_with_rolling_eyes']
24530,This probably why I cant have a dog Id probably dress em up in all kinds of cute crazy shit,['weary_face']
24531,and everybody knows that,['sparkling_heart']
24532,cant tell if this is a 12 year old boy or a 45 year old lesbian,['thinking_face']
24533,Its that time of year yall,['fire']
24534,remember when lilo trashed nialls car,['face_with_tears_of_joy']
24535,Whos your mom buying baby gifts for,['eyes']
24536,Its like a whole different campus when its warm outside,['face_with_tears_of_joy']
24537,START at that Anon,['face_with_rolling_eyes']
24538,Follow everyone who Likes this,['smiling_face_with_sunglasses']
24539,Even illuminati cant explain why sarfraz was retained over Rahul and gayle,['face_with_tears_of_joy']
24540,START Golden Cross on 1h timeframe Price 000964 Signal Score 6010 Exchange,['glowing_star']
24541,you also said you loved me like 54 times,['face_with_tears_of_joy']
24542,If my man got me this Drops hint,['loudly_crying_face']
24543,Whats ya body count ,['face_with_tears_of_joy']
24544,i know niggas prolly dicked the nigga ,"['person_shrugging', 'male_sign']"
24545,Trending ang Suffer Sireyna at 11th spot,['face_with_tears_of_joy']
24546,In honor of todays Super Bowl halftime headliner I wanna dedicate a thread as to why Justin Timberlake is trash,['sparkles']
24547,Ciara did this first Lets not go this ,"['person_shrugging', 'male_sign']"
24548,has now surpassed 1000 tweets and its still trending at Worldwide Reminder to ALWAYS,['fire']
24549,AHHH THANK YOU MXM FOR TALKING ABOUT INFINITE TODAY DURING THEIR VLIVE MY PROOF HAS FINALLY COME,['loudly_crying_face']
24550,look at how beautiful jungkooks smile was when taehyung twirled him into his arms,['loudly_crying_face']
24551,Johnny Manziel threw at the University of San Diegos pro day today with 12 NFL teams in attendance,['eyes']
24552,Not near where we will be Packages with bombs are being delivered to houses They explode when people pick them up,['crying_face']
24553,I be on Tilghman more then I be at my crib,['face_with_tears_of_joy']
24554,Here she is rushing ahead of me because apparently Im slow,['face_with_tears_of_joy']
24555,The stylish star of Indian cinema Happy Birthday,['face_blowing_a_kiss']
24556,Spring TimeFlowers Grass and Strong Allergy Every Nice Feeling Have But Hope See U Very Soon Thx Fo,['crying_face']
24557,1 Retweet this 2 Follow all that Like amp Retweet 3 Follow back all that follow you 4 Gain with,"['white_heavy_check_mark', 'white_heavy_check_mark', 'white_heavy_check_mark', 'fire']"
24558,Crazies came out and we caught the dub Win 25,['white_heavy_check_mark']
24559,Examining Butchs gigantic meat can confirm its 100 beef,['OK_hand']
24560,Woke up to a news that Barcelona are out,['face_with_tears_of_joy']
24561,ICC Sir Garfield Sobers Trophy Virat Kohli With India flying high at the top of the rankings scored 2203 Test runs,['trophy']
24562,I want pizza chicken nuggets and a watermelon McFizz,['loudly_crying_face']
24563,When you smell that certain liquor and you think back to the time you almost died,['face_with_tears_of_joy']
24564,BREAKING NEWS Sat 17th Feb is the JA Testiomial Day at for vs RETWEET f,"['collision', 'collision']"
24565,Ready as I can be on my third day back at work for 2018,['loudly_crying_face']
24566,that bitch green she go for the team,['face_with_tears_of_joy']
24567,Yo heart dont race when you aint got shit to hide ,"['person_shrugging', 'male_sign']"
24568,My foot is still fucked up so today was all biceps and triceps Good stuff,['flexed_biceps']
24569,Tia baby is killing it ohhh not to mention the girl made me a tia I love yaaalll sm Yall this gotta b,['smiling_face_with_heart-eyes']
24570,Sis theyre so cuteee,['loudly_crying_face']
24571,Hina Khan Performance Is Awesome ,"['clapping_hands', 'smiling_face_with_heart-eyes']"
24572,Cant wait til this week is over with Im so ready for my trip,['loudly_crying_face']
24573,not very joyful weekend perspective,['smiling_face_with_smiling_eyes']
24574,How you leave me hanging knowing i neeed you,['folded_hands']
24575,Looks like a fun game,['skull']
24576,Thank you so much for the nomination its been an incredible year,"['raising_hands', 'red_heart']"
24577,START ATTENTION ALL EXOLS pls report the following accounts for spreading FALSE rumours abt baekhyun culooll leey,"['police_car_light', 'police_car_light']"
24578,not you I love you,['red_heart']
24579,Funny how Chris Brown hasnt been forgiven its almost a decade,['face_with_tears_of_joy']
24580,A friend just sent me this Ive never read anything more accurate,['face_with_tears_of_joy']
24581,I just fell out of my chair laughing Seems like either someone else is typing this or some spirit has e,['face_with_tears_of_joy']
24582,My Brotha This is real its been a pleasure to be able to watch you these past 4 Years Your,['double_exclamation_mark']
24583,hmmm there seems to be a pattern here,['thinking_face']
24584,START Get daily money Follow us RT Tag your friend The prize is Butterfly Knife Scorched,"['fire', 'fire', 'fire']"
24585,Last night at Harana caraeriguel,['red_heart']
24586,hahah oh no these are my high school students im referring to not the little germy children,['face_with_tears_of_joy']
24587,kyeoptaaa   hes still that squishy little mochi http,"['smiling_face', 'smiling_face', 'smiling_face']"
24588,What are bras ,"['person_facepalming', 'female_sign']"
24589,THANK YOU LOVE YOU TOO,['two_hearts']
24590,Shampoo got my hair soft asf,['face_with_tears_of_joy']
24591,START TheChepo Valentines Day Sale   ENTIRE STORE IS 000 AND YOU JUST PAY SHIPPING UNLIMITED ITEMS at checkout,"['flushed_face', 'red_heart', 'red_heart', 'yellow_heart']"
24592,I facetimed my mom hungover to tell her Im sorry for being garbage and she said I love garbage  ,"['person_shrugging', 'female_sign']"
24593,Are you ok donnie Get your meds please,['face_with_tears_of_joy']
24594,Ace Family can me and my little sister please get a facetime call Please   ,"['heart_suit', 'loudly_crying_face', 'folded_hands', 'loudly_crying_face']"
24595,Aww thanks Posh Take it easy Quenito You did really well Very professional ,"['raising_hands', 'clapping_hands']"
24596,If could do this for my foundation,['purple_heart']
24597,Gain 500 followers Retweet Like Follow They all,"['collision', 'collision', 'white_heavy_check_mark', 'white_heavy_check_mark', 'white_heavy_check_mark']"
24598,Muy Duro  getrepost Ya Disponible Music Video Link,['raising_hands']
24599,My new sub Chris not on twitter must not jerk off one more day for every this tweet gets 2 hours,['red_heart']
24600,So Minghaos comments on those instagram posts of BooSeokSoons solo teaser jokes WAS A BIG SPOILER On Boos he com,['eyes']
24601,Anything over being cool,['face_with_tears_of_joy']
24602,omg queen you wrong,['skull']
24603,go turnup slut ,['face_with_tears_of_joy']
24604,And then my soul saw you and it went Oh there you are Ive been looking all over for you my whole life  https,['red_heart']
24605,Some of the acrylics girls get are so fucking shit man go long or go home,['loudly_crying_face']
24606,200 AM 300 AM KST 1 2265K 2 1748K CONTINUE VOTING amp INCREASING,"['fire', 'right_arrow']"
24607,are about to appear in a documentary and fans are READY,['sparkles']
24608,These niggas so faded they started a 4 way symphony,['skull']
24609,I want a booty like,['OK_hand']
24610,Only 90s babies will understand this,['face_with_tears_of_joy']
24611,Im really missing my momma right now hope shes enjoying her time in Mex tho after 20 years,['smiling_face']
24612,We will never forget,['red_heart']
24613,these people are living in 3017,['flushed_face']
24614,8 IS THAT ALLOWED,['skull']
24615,I wish I had somebody to chill with rn since she busy ,"['person_shrugging', 'female_sign']"
24616,God forbid you roll over and suffocate the nigga now you have to dispose of the branches   ,"['loudly_crying_face', 'female_sign', 'person_facepalming', 'female_sign']"
24617,Jennifer Lauren singing her heart out,['red_heart']
24618,Beautiful Cherry Blossom Japan,['smiling_face_with_heart-eyes']
24619,Watching Shooter gives me chillsss but like not those mokosia chills but the mafana chills malieee ae faiva hahahahah,['face_with_tears_of_joy']
24620,Dear my friend Hello Cute Love Thist looks delicious I really love tart Thank you so much,"['sparkling_heart', 'two_hearts', 'two_hearts']"
24621,2nd Mass Vote Trend Keywords Please join us by adding HOW YOU DARE to your votetweet Keep vo,['right_arrow']
24622,What do you think,['trophy']
24623,Leave my baby alone She was NOT that angry she woulda gave yo the middle finger amp walked off thou,['face_with_rolling_eyes']
24624,New main channel banger,['fire']
24625,He really doesnt have an answer but proceeds to tell me he didnt even see him pull up,['face_with_rolling_eyes']
24626,I was just sleepy but damn,['face_with_tears_of_joy']
24627,My week on Twitter 4 Tweets See yours with,['party_popper']
24628,BBMAs nomination will be announced on April 17 at 700 AM EST Keep voting fam,['purple_heart']
24629,Sbsjwnwbhzhzb school starts again tomorrow,['loudly_crying_face']
24630,Lots of eyeshadow ,"['person_facepalming', 'female_sign']"
24631,He tried to act brand new and she wasnt havin it,['face_with_tears_of_joy']
24632,All my life i thought air was free Until i bought a bag of chips,['loudly_crying_face']
24633,START ARMY Look at this voting as early practice for the BBMAs Also we MUST protect our spot on the Social 50,"['fire', 'fire', 'flexed_biceps']"
24634,START MASS VOTE RN TOGETHER WE ARE STRONG,['police_car_light']
24635,Jasmin takes forever to text back,['face_with_rolling_eyes']
24636,START Princess Ariana x Reebok,['sparkling_heart']
24637,My week on Twitter 4 Mentions 12 Likes 2 Retweets 2 Replies See yours with,['party_popper']
24638,all females are the same ill believe that until proven other wise ,"['person_shrugging', 'male_sign']"
24639,Thank you so much,['sparkling_heart']
24640,wait till the end,['flushed_face']
24641,That was so Im still burnin when I piss,['fire']
24642,Wine drunk on a man better than liquor at least to me it is,['loudly_crying_face']
24643,after i say what i gotta say i put ppl msgs on dnd so ian gotta be bothered,['face_with_tears_of_joy']
24644,I dont remember this part of Fergalicious,['thinking_face']
24645,It is monday and based on the way my timeline looks the event still isnt done yet Its a wonderful,['face_with_tears_of_joy']
24646,LMAOO I saw this on ig and couldnt stop laughing,['face_with_tears_of_joy']
24647,A Small House Set Against Impressively Dramatic Landscapes,['right_arrow']
24648,im going to assume this is a confession of some sort of ur love for me and yes i love u too mwah,['two_hearts']
24649,Dear see the love of your Nellai Fans Massive Cutout for Placed,['smiling_face_with_sunglasses']
24650,I wanna say thank you in case I dont thank you enough,['face_blowing_a_kiss']
24651,START 4918 RR problems Q,['police_car_light']
24652,Thank you so much for the nomination its been an incredible year,"['raising_hands', 'red_heart']"
24653,He really know Armys very well,['face_with_tears_of_joy']
24654,I love my tiny rebel and her tongue piercing,['smiling_face_with_heart-eyes']
24655,Someone give them an Oscar for this,['face_with_tears_of_joy']
24656,Champion since day 1or even before,['rolling_on_the_floor_laughing']
24657,This is so amazing,['loudly_crying_face']
24658,Love you too Cant believe a year ago today you got down on one knee and asked me to marry you N,"['red_heart', 'smiling_face_with_heart-eyes']"
24659,Oh yes honey drop a video for us,['raising_hands']
24660,heard they were looking for L Bell and Marvious,['face_with_tears_of_joy']
24661,000 talk with my dude,['blue_heart']
24662,Here are some Korean phrases wants you to know,['smiling_face_with_sunglasses']
24663,START Share Share Share Share Its Not A Game,"['speaking_head', 'double_exclamation_mark']"
24664,They hyped FA Cup They hyped Community Shield They celebrated 4th place They are now celebrating finishing 2nd htt,['face_with_tears_of_joy']
24665,Fantastic trailer sir Waiting for the movie,"['OK_hand', 'smiling_face_with_heart-eyes']"
24666,START Louis solo awards Best Collab JHO Best European Act 2 Best Collab for BTY Best International Video BTY A,['trophy']
24667,But she aint have to disrespect the girl like that lol  shouldve just politely ended that conversation like,"['person_facepalming', 'female_sign']"
24668,Is it too early for bed,['weary_face']
24669,ok but this high quality camera though,['weary_face']
24670,Our weekly update us already available We have said lots of things regarding relevant issues for Hotel Coin sales 30th,['OK_hand']
24671,START LAST 30 MINUTES before the category closes Please get ALL your votes in for on FACEBOOK INSTAGRAM,['double_exclamation_mark']
24672,Cute pic of me yesterday at the beach might delete later idk,['face_with_tears_of_joy']
24673,Pretty much how I handle life,['face_with_tears_of_joy']
24674,So depressing watching people just win all these giveaways lets say a challenge for a skin,"['flushed_face', 'winking_face']"
24675,We will urgently attend to the leadership issues at the NPA,['OK_hand']
24676,How many times did this yute watch Black Panther because this accuracy has finished me this evening sjsjsjjsjsjsjsjs htt,['face_with_tears_of_joy']
24677,In the last 10 years La Liga Copa del Rey Champions League,"['trophy', 'trophy', 'trophy']"
24678,3rd Sunday 0295cr EEstimate Details tomorrow,['folded_hands']
24679,streaming some PUBG soon at,['two_hearts']
24680,EXO taking a moment with media,['clapping_hands']
24681,lgbtq artists dm me ive got a few questions please rt its 4 a school project,['two_hearts']
24682,Theyre making a friends MOVIE Im crying,['loudly_crying_face']
24683,Those stats Your Man of the Match,"['OK_hand', 'clapping_hands']"
24684,Time to play catch up ,"['person_facepalming', 'female_sign']"
24685,10 Shivikas falls RT their first fall Like fall on ground,['fire']
24686,My week on Twitter 1 Mention 9 Likes 3 New Followers See yours with,['party_popper']
24687,Oh Yoongi baby what did they do to you,['face_with_tears_of_joy']
24688,START ALERT is less than 45k votes away from voting faster than us Get this tweet to 1000 replies for Best Fan Army,"['police_car_light', 'police_car_light']"
24689,Genius Angel Prince Congrats to is also very great Proud of them both,['blue_heart']
24690,Can I get an Aggie Pride MBB Final 70 64 WBB Final 67 54 httpst,['blue_heart']
24691,Just when your day couldnt get any better,['face_with_tears_of_joy']
24692,happy Valentines Day Im seeing play London tonight,['smiling_face_with_sunglasses']
24693,Not interested or impressed ,"['person_shrugging', 'female_sign']"
24694,Thank all my followers for the mentions i love you,['face_blowing_a_kiss']
24695,Dude cries over football players taking a knee and he doesnt even know the words to the song,['face_with_tears_of_joy']
24696,Aint bragging Only wanted to express how proud I am being her fan and being a Filipino You go girl,['yellow_heart']
24697,Surprised my wife today,['two_hearts']
24698,START in the coat you need fauxreal this winter Shop all your fauxfur,['red_heart']
24699,But if baby girl only knew she tripped when she let you go,['smiling_face_with_sunglasses']
24700,Reading fans remember this fine team goal against Hull What a move,['fire']
24701,I keep voting yess,['flexed_biceps']
24702,Actually l kind of feel like watching that now be back later lol,['thinking_face']
24703,Nigerian Connections Retweet Like Follow everyone who RTs Follow everyone who likes,"['fire', 'red_heart', 'hundred_points', 'hundred_points']"
24704,the stuff you see in Indianapolis,['face_with_tears_of_joy']
24705,GAME ROUND 2 What year did u become an ARMY goal 200 rts amp 50 replies,['fire']
24706,Why was I so drunk last night tho,['weary_face']
24707,START  everything is so forced now i dont even care if the hero is black or white just make a fucking good movie a,"['person_facepalming', 'male_sign']"
24708,HAHA AWAY AWAY AWAY,['face_with_tears_of_joy']
24709,Im amazed at your choice of songs they fit sooo well w ur AUs and im also happy I listen to almost all the artists you r,['loudly_crying_face']
24710,START  Proverbs 33 My children never let LOYALTY and kindness leave you 35 35 Trust in the Lord with all your,"['red_heart', 'folded_hands']"
24711,Need my sht devoured fr,['loudly_crying_face']
24712,If youre in St Paul amp barrel aged get to on Feb 1 at 4pm Therell be BA Darkness,['red_heart']
24713,love this proud of you,"['red_heart', 'two_hearts']"
24714,Throwback to when Neymar ended this mans career,['skull']
24715,START YASSS Its time for a great show ThatIndianLady,['raising_hands']
24716,START Largest Sex Dating Site Register for free ,"['fire', 'fire', 'fire']"
24717,I loved you in Ghost,['face_with_tears_of_joy']
24718,TRANS was mentioned on hyomi Instagram story post  Angel Luna unnie bought it for me I will eat,"['female_sign', 'purple_heart']"
24719,I love you ahhaahhahahah,['face_with_tears_of_joy']
24720,Managers having fun too,['face_with_tears_of_joy']
24721,START MIP Prep 101 Lets encourage our Undergraduate chapter members to support the National Undergraduate Member team,['speaking_head']
24722,The countdown begins big up everyone who wins an award tonight The Best Video vote is open again now,['backhand_index_pointing_right']
24723,FULL VIDEO VIA THE LINK IN MY BIO FOLLOW MY IG FOR MORE VIDEOS http,['folded_hands']
24724,Mans outchea just peeling the hard skin off his foot like its Yam,['rolling_on_the_floor_laughing']
24725,Guan Lins dad posted a photo w Seon Ho at his fanmeeting last night i love this,['loudly_crying_face']
24726,Be ready down there cause I think Im Falling Yah Hwang Minhyun what are you doing,['smiling_face_with_heart-eyes']
24727,Thank u so much for all the love,['folded_hands']
24728,AirMax Been Snappin,['smiling_face_with_heart-eyes']
24729,START oh I lef house Rydee I lef house I promise lmao,['face_with_tears_of_joy']
24730,Jiminie my cutest baby thank you for updating when i really need it i love you,"['loudly_crying_face', 'purple_heart']"
24731,I vote for  ,"['red_heart', 'red_heart', 'red_heart']"
24732,3 more days Cant wait to see you,['two_hearts']
24733,Thanks G for another year of existence,['smiling_face']
24734,Could you message me details of your demos that I could pass on to Hall Green Art Society Thanks,['folded_hands']
24735,Dawg Im still at work ,"['person_facepalming', 'female_sign']"
24736,I shouldnt be laughing this hard,['face_with_tears_of_joy']
24737,START Days 1314 of Dont be a fool and forget which side is the real side when flipping your canvas kids cries,"['sparkles', 'sparkles']"
24738,My Calvins The hot sexy and naked edition,['winking_face']
24739,Yeah waiting for the match Bt No updates anywhere yet 9 aM Match only,['smiling_face_with_smiling_eyes']
24740,New photo of as Bram Greenfeld in,['red_heart']
24741,AAA I LOVE THE MV      ,"['red_heart', 'purple_heart', 'blue_heart', 'red_heart', 'purple_heart', 'two_hearts', 'two_hearts']"
24742,Happy 59th Birthday to the legendary Sade Adu,['yellow_heart']
24743,Thanks I had two sittings but it took 5 and a half hours all up The collar bone was hell,['face_with_tears_of_joy']
24744,thanks tild love amp miss you tons ,"['red_heart', 'red_heart']"
24745,We vote for Remember to tag in your voting tweets https,['purple_heart']
24746,Can anyone see me in their notifications,['folded_hands']
24747,RT Korean Central Presbyterian Church  For Taxi 7034454450,['backhand_index_pointing_right']
24748,START EX0Ls CATCHING UP RIGHT NOW THE GAP IS REDUCED MORE AND MORE EVERY HOURS CALLING EVERY ARMYS YOUR MUTUALS TO VOTE,"['police_car_light', 'police_car_light']"
24749,Forget about other KPop acts records JHope came and ENDED all of BTS records JHope came for BLOOD and its be,['face_with_tears_of_joy']
24750,WARNING I know Karate and some other words,['weary_face']
24751,Appreciate All My Followers,['backhand_index_pointing_right']
24752,All of south Florida is making noise,['speaking_head']
24753,Have no fear of change as such and on the other hand no liking for it merely for its own sake,['face_blowing_a_kiss']
24754,Tomorrow Its gonna be a super cute video,['smiling_face_with_heart-eyes']
24755,frustrated namjoon ft giggly jimin,['face_with_tears_of_joy']
24756,Coming tomorrow to is amp first video together I hope it wi,['two_hearts']
24757,I know yeah mate wtf,['beaming_face_with_smiling_eyes']
24758,RT The relic could destroy Christianity,['right_arrow']
24759,This Gennaro Gattuso story about Paul Gascoigne is absolutely brilliant,['raising_hands']
24760,WE ARE NOT BOO BOO THE FOOLS,['loudly_crying_face']
24761,His face omg I am a bag of emotions,['loudly_crying_face']
24762,Dems HHS Filibuster Attempt Underscores Their Utter Hypocrisy They Demand We Take In Illegal Babies But Promote The,['double_exclamation_mark']
24763,First of All Im 6ft and they live with ME put some respeck on my name LOLaaand goku amp naruto are real ones l,['raising_hands']
24764,Im at the point in my life where nothing negative exists,['folded_hands']
24765,Happy MaiChard makes my heart happy My heart is too full ALDUB PlatinumKantahan https,['smiling_face_with_heart-eyes']
24766,morning todays the day Im writing all my 2018 goals what are some of yours,"['sparkles', 'two_hearts']"
24767,B T S is the most CAREER DRIVEN ARTISTS Ive ever encountered So lets VOTE BTS,['right_arrow']
24768,Going for six wins in a row,['flexed_biceps']
24769,OUUU YASS BESTFRIEND ALWAYS FUCKIN IT UP OUT HEREEE,['smiling_face_with_heart-eyes']
24770,NEO is valued at 12987 Kucoin Share holders will receive discount trading fees,['smiling_face_with_heart-eyes']
24771,And I also think its funny that Kit went to Paris for the weekend When he could of went to New York,['thinking_face']
24772,Masterclass with Chris Kenny,['face_with_tears_of_joy']
24773,Stop telling pessimistic people your plans and expecting supportive responses  Keep your plans to yourself,"['person_shrugging', 'female_sign']"
24774,Lol I feel u,['face_with_tears_of_joy']
24775,honey gold balloons for Jongins birthday party,['loudly_crying_face']
24776,OMFG SERVING A LOOK ,"['clapping_hands', 'clapping_hands', 'loudly_crying_face']"
24777,When Chelsea fans were delighted with the Bakayoko signing and claimed he was twice the player Mati is,['eyes']
24778,looking forward to welcoming you to team have tidied up a bit,['smiling_face_with_smiling_eyes']
24779,Sometimes you would like slapping these anchors to wake them up,['winking_face']
24780,no one notices me ever so Id prob be a good one,['face_with_tears_of_joy']
24781,Stir fry is just annoying,['face_with_rolling_eyes']
24782,If you love video games gamers and nerding out to your fav things check out our channel made just for YOU https,['glowing_star']
24783,Me too But then i think about G Unittt ,"['loudly_crying_face', 'female_sign']"
24784,me to myself this 2018 become a priority in your own life,['OK_hand']
24785,Exactly what I was thinking,['thinking_face']
24786,You wanna know what Im doing outside the football pitch Watch this,"['thinking_face', 'beaming_face_with_smiling_eyes']"
24787,The dynamite ,['smiling_face_with_heart-eyes']
24788,Beautiful Queen I love her so much  I wish she could come back to twitter ,"['red_heart', 'red_heart', 'folded_hands', 'folded_hands']"
24789,deep busy with work,['face_with_tears_of_joy']
24790,HeyoShellz 7 s Your tweet has been liked by 7 people,['red_heart']
24791,I gave my dog an egg and this what he does with it inspired by the retriever and the egg vid,['face_with_tears_of_joy']
24792,Proud of all the kids sharing their message of peace 2day Protect kids not guns Use your voice n lets fix this,['folded_hands']
24793,The power of two minutes,['flexed_biceps']
24794,Fun FACT about my account Ever since voting started for iHeartRadio on January my account has received around 3400,['right_arrow']
24795,Respect I wish this will be taken in the most positive spirit rather than getting into an ego fight,['folded_hands']
24796,can I call you mine,['smiling_face_with_heart-eyes']
24797,Yesterday I learned mens sexuality is so fragile Jeremy spent the night in Utah with his best friend and the motel they s,['face_with_rolling_eyes']
24798,In the face of negativity we stream and vote harder Lets focus on,['fire']
24799,Winning at parenting feeding the baby drinking coffee eating vegan cake and checking Twitter all at the same time,['flexed_biceps']
24800,Kendrick Lamar winning the Oulitzer Prize is really awesome Like I was genuinely happy when I first saw that he did      ,"['clapping_hands', 'clapping_hands', 'clapping_hands', 'OK_hand', 'OK_hand', 'OK_hand', 'red_heart']"
24801,Good job everybody good job    BKK day 7,"['clapping_hands', 'clapping_hands', 'folded_hands']"
24802,Imagine say you dey girl en top den Obinim sticker dey your waist,['face_with_tears_of_joy']
24803,On odd days Celebrate Castebased politics On even days Using caste as a context is a governance issue,['rolling_on_the_floor_laughing']
24804,Thisgtgtgtgt  ,"['red_heart', 'red_heart', 'red_heart']"
24805,START 12 Hours Click Like RT Follow Notifications ON 2 Days to get your prize,"['fire', 'backhand_index_pointing_right', 'white_heavy_check_mark']"
24806,On behalf of this conservative Californian I apologize for this ridiculous tweet HE DOES NOT SPEAK FOR ME,['backhand_index_pointing_down']
24807,I hope ur toes freeze,['loudly_crying_face']
24808,Just landed in Washington DC and to no ones surprise Im craving Skyline,['face_with_rolling_eyes']
24809,My favorite part of this entire conversation is the way too much but ok response,['face_with_tears_of_joy']
24810,Who else gets water at restaurants bc you genuinely want water ,['female_sign']
24811,Doesnt get much better than a sausage dog parade in Greenwich Park,['smiling_face_with_heart-eyes']
24812,My nail appts are my ME time youre not invited ,"['person_shrugging', 'female_sign']"
24813,bbh we will be an artist whom eris can be proud of yall im crying how does one not love these kindhearted boys,['crying_face']
